card_type_id,name,hp,rarity,artist,supertype,convertedRetreatCost,set_name,set_series,number,type_1,subtype_1,nationalPokedexNumber,num_abilities,num_attacks,num_resistances,num_weaknesses,price_type,price_bucket,release_year
hgss4-1_holofoil,Aggron,140,Rare Holo,Kagemaru Himeno,Pokémon,4,HS—Triumphant,HeartGold & SoulSilver,1,Metal,Stage 2,306.0,0,2,1,1,holofoil,low,2010
hgss4-1_reverseHolofoil,Aggron,140,Rare Holo,Kagemaru Himeno,Pokémon,4,HS—Triumphant,HeartGold & SoulSilver,1,Metal,Stage 2,306.0,0,2,1,1,reverseHolofoil,low,2010
xy5-1_normal,Weedle,50,Common,Midori Harada,Pokémon,1,Primal Clash,XY,1,Grass,Basic,13.0,0,1,0,1,normal,low,2015
xy5-1_reverseHolofoil,Weedle,50,Common,Midori Harada,Pokémon,1,Primal Clash,XY,1,Grass,Basic,13.0,0,1,0,1,reverseHolofoil,low,2015
pl1-1_holofoil,Ampharos,130,Rare Holo,Atsuko Nishida,Pokémon,2,Platinum,Platinum,1,Lightning,Stage 2,181.0,1,2,1,1,holofoil,low,2009
pl1-1_reverseHolofoil,Ampharos,130,Rare Holo,Atsuko Nishida,Pokémon,2,Platinum,Platinum,1,Lightning,Stage 2,181.0,1,2,1,1,reverseHolofoil,low,2009
dp3-1_holofoil,Ampharos,130,Rare Holo,Kouki Saitou,Pokémon,3,Secret Wonders,Diamond & Pearl,1,Lightning,Stage 2,181.0,1,1,1,1,holofoil,low,2007
dp3-1_reverseHolofoil,Ampharos,130,Rare Holo,Kouki Saitou,Pokémon,3,Secret Wonders,Diamond & Pearl,1,Lightning,Stage 2,181.0,1,1,1,1,reverseHolofoil,low,2007
det1-1_holofoil,Bulbasaur,60,Common,MPC Film,Pokémon,1,Detective Pikachu,Sun & Moon,1,Grass,Basic,1.0,0,1,0,1,holofoil,low,2019
dv1-1_holofoil,Dratini,40,Rare Holo,Masakazu Fukuda,Pokémon,1,Dragon Vault,Black & White,1,Dragon,Basic,147.0,0,1,0,1,holofoil,low,2012
mcd19-1_holofoil,Caterpie,50,Unknown,Sekio,Pokémon,1,McDonald's Collection 2019,Other,1,Grass,Basic,10.0,0,1,0,1,holofoil,low,2019
pl3-1_holofoil,Absol G,70,Rare Holo,Yusuke Ishikawa,Pokémon,1,Supreme Victors,Platinum,1,Darkness,Basic,359.0,0,2,1,1,holofoil,low,2009
pl3-1_reverseHolofoil,Absol G,70,Rare Holo,Yusuke Ishikawa,Pokémon,1,Supreme Victors,Platinum,1,Darkness,Basic,359.0,0,2,1,1,reverseHolofoil,low,2009
ex12-1_holofoil,Aerodactyl,70,Rare Holo,Hajime Kusajima,Pokémon,0,Legend Maker,EX,1,Colorless,Stage 1,142.0,1,2,1,1,holofoil,low,2006
ex12-1_reverseHolofoil,Aerodactyl,70,Rare Holo,Hajime Kusajima,Pokémon,0,Legend Maker,EX,1,Colorless,Stage 1,142.0,1,2,1,1,reverseHolofoil,low,2006
ex3-1_holofoil,Absol,70,Rare Holo,Naoyo Kimura,Pokémon,1,Dragon,EX,1,Darkness,Basic,359.0,0,2,1,1,holofoil,low,2003
ex3-1_reverseHolofoil,Absol,70,Rare Holo,Naoyo Kimura,Pokémon,1,Dragon,EX,1,Darkness,Basic,359.0,0,2,1,1,reverseHolofoil,low,2003
ru1-1_holofoil,Venusaur,140,Unknown,Pokemon Rumble,Pokémon,4,Pokémon Rumble,Other,1,Grass,Stage 2,3.0,0,1,0,1,holofoil,low,2009
ecard2-H1_unknown,Ampharos,100,Rare Holo,Shin-ichi Yoshida,Pokémon,2,Aquapolis,E-Card,H1,Lightning,Stage 2,181.0,0,2,0,1,unknown,low,2003
base4-1_holofoil,Alakazam,80,Rare Holo,Ken Sugimori,Pokémon,3,Base Set 2,Base,1,Psychic,Stage 2,65.0,1,1,0,1,holofoil,low,2000
hgss1-1_holofoil,Arcanine,110,Rare Holo,Naoki Saito,Pokémon,2,HeartGold & SoulSilver,HeartGold & SoulSilver,1,Fire,Stage 1,59.0,0,2,0,1,holofoil,low,2010
hgss1-1_reverseHolofoil,Arcanine,110,Rare Holo,Naoki Saito,Pokémon,2,HeartGold & SoulSilver,HeartGold & SoulSilver,1,Fire,Stage 1,59.0,0,2,0,1,reverseHolofoil,low,2010
ex11-1_holofoil,Beedrill δ,90,Rare Holo,Masakazu Fukuda,Pokémon,0,Delta Species,EX,1,Grass,Stage 2,15.0,1,1,0,1,holofoil,low,2005
ex11-1_reverseHolofoil,Beedrill δ,90,Rare Holo,Masakazu Fukuda,Pokémon,0,Delta Species,EX,1,Grass,Stage 2,15.0,1,1,0,1,reverseHolofoil,low,2005
ex7-1_holofoil,Azumarill,80,Rare Holo,Sumiyoshi Kizuki,Pokémon,1,Team Rocket Returns,EX,1,Water,Stage 1,184.0,1,1,0,1,holofoil,low,2004
ex7-1_reverseHolofoil,Azumarill,80,Rare Holo,Sumiyoshi Kizuki,Pokémon,1,Team Rocket Returns,EX,1,Water,Stage 1,184.0,1,1,0,1,reverseHolofoil,low,2004
gym1-1_firstEditionHolofoil,Blaine's Moltres,90,Rare Holo,Ken Sugimori,Pokémon,3,Gym Heroes,Gym,1,Fire,Basic,146.0,0,1,1,0,firstEditionHolofoil,high,2000
base3-1_firstEditionHolofoil,Aerodactyl,60,Rare Holo,Kagemaru Himeno,Pokémon,2,Fossil,Base,1,Fighting,Stage 1,142.0,1,1,1,1,firstEditionHolofoil,high,1999
sm9-1_holofoil,Celebi & Venusaur-GX,270,Rare Holo GX,Mitsuhiro Arita,Pokémon,4,Team Up,Sun & Moon,1,Grass,Basic,Unknown,0,3,0,1,holofoil,low,2019
xy2-1_normal,Caterpie,40,Common,Sumiyoshi Kizuki,Pokémon,1,Flashfire,XY,1,Grass,Basic,10.0,1,1,0,1,normal,low,2014
xy2-1_reverseHolofoil,Caterpie,40,Common,Sumiyoshi Kizuki,Pokémon,1,Flashfire,XY,1,Grass,Basic,10.0,1,1,0,1,reverseHolofoil,low,2014
pop6-1_normal,Bastiodon,130,Rare,Kazuyuki Kano,Pokémon,3,POP Series 6,POP,1,Metal,Stage 2,411.0,1,1,1,1,normal,low,2007
ecard2-H2_unknown,Arcanine,90,Rare Holo,Kyoko Umemoto,Pokémon,3,Aquapolis,E-Card,H2,Fire,Stage 1,59.0,1,1,0,1,unknown,low,2003
hgss4-2_holofoil,Altaria,90,Rare Holo,Ryo Ueda,Pokémon,0,HS—Triumphant,HeartGold & SoulSilver,2,Colorless,Stage 1,334.0,0,2,1,1,holofoil,low,2010
hgss4-2_reverseHolofoil,Altaria,90,Rare Holo,Ryo Ueda,Pokémon,0,HS—Triumphant,HeartGold & SoulSilver,2,Colorless,Stage 1,334.0,0,2,1,1,reverseHolofoil,low,2010
